objectid,subject,format,filename,CO_LOC_RES,NTEEC,NAICS,title,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,RULEDATE15,RULEDATE15,RULEMONTH,date,longitude,latitude,GSTREET,GCITY,GSTATE,GZIP,GZIP5
8402800012,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,,PHILADELPHIA HISTORICAL MUSEUM,PHILADELPHIA HISTORICAL MUSEUM,,,303 WATER AVE S,PHILADELPHIA,MS,39350,39350,,,,,,6016561284,HTTP://WWW.NESHOBACOUNTY.NET/INDEX.PHP,,,,,,,,,,,,-89.11459,32.76761,303 WATER AVE S,PHILADELPHIA,MS,39350,39350
8402800198,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,,NESHOBA COUNTY-PHILADELPHIA HISTORICAL MUSEUM,NESHOBA COUNTY-PHILADELPHIA HISTORICAL MUSEUM INC,,,252 MAIN ST,PHILADELPHIA,MS,39350,39350,303 WATER AVE,PHILADELPHIA,MS,39350,39350,6016561284,HTTP://WWW.NESHOBA.ORG,,,,,,,,,,,,-89.11459,32.76761,303 WATER AVE,PHILADELPHIA,MS,39350,39350
8403602197,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A80,,PHILADELPHIA HISTORICAL SOCIETY,PHILADELPHIA HISTORICAL SOCIETY,,,64 MAIN STREET,PHILADELPHIA,NY,13673,13673,,,,,,,,201312,0,0,0,64 MAIN STREET,PHILADELPHIA,NY,201102,201102,02,2011,-75.70492,44.15939,64 MAIN STREET,PHILADELPHIA,NY,13673-0000,13673
8404200010,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,,WOODFORD MANSION,WOODFORD MANSION,,,2300 N 33RD ST,PHILADELPHIA,PA,19132,19132,,,,,,2152296115,HTTP://WWW.WOODFORDMANSION.ORG,,,,,,,,,,,,-75.16671,39.99498,2300 N 33RD ST,PHILADELPHIA,PA,19132,19132
8404200040,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,,THOMAS EAKINS HOUSE,THOMAS EAKINS HOUSE,,,1729 MOUNT VERNON ST,PHILADELPHIA,PA,19130,19130,,,,,,2152357475,HTTP://WWW.MURALARTS.ORG/,,,,,,,,,,,,-75.16636,39.96536,1729 MOUNT VERNON ST,PHILADELPHIA,PA,19130,19130
8404200077,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A99,710000,PHILADELPHIA SHIP PRESERVATION GUILD,PHILADELPHIA SHIP PRESERVATION GUILD,,,301 S COLUMBUS BLVD,PHILADELPHIA,PA,19106,19106,,,,,,2152380280,HTTP://PHILASHIPGUILD.ORG/,201312,4,166553,166553,301 S COLUMBUS BLVD,PHILADELPHIA,PA,197306,197306,06,1973,-75.14229,39.94286,301 S COLUMBUS BLVD,PHILADELPHIA,PA,19106-4328,19106
8404200143,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,,LAUREL HILL CEMETERY,LAUREL HILL CEMETERY,,,3822 RIDGE AVE,PHILADELPHIA,PA,19132-1881,19132,,,,,,,,,,,,,,,,,,,-75.18879,40.00679,3822 RIDGE AVE,PHILADELPHIA,PA,19132-1881,19132
8404200159,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,,HISTORIC RITTENHOUSE TOWN,HISTORIC RITTENHOUSE TOWN,,,206 LINCOLN DRIVE,PHILADELPHIA,PA,19144,19144,,,,,,2154385711,HTTP://RITTENHOUSETOWN.ORG/,,,,,,,,,,,,-75.19197,40.02759,206 LINCOLN DRIVE,PHILADELPHIA,PA,19144,19144
8404200163,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A80,712120,LEMON HILL MANSION,FRIENDS OF LEMON HILL,,,LEMON HILL DRIVE,PHILADELPHIA,PA,19130,19130,SEDGLEY DRIVE & LEMON HILL DR,PHILADELPHIA,PA,19130,19130,2152324337,HTTP://WWW.LEMONHILL.ORG/,201403,0,0,0,149 SPLITRAIL LN,BLUE BELL,PA,199907,199907,07,1999,-75.17146,39.96687,SEDGLEY DRIVE & LEMON HILL DR,PHILADELPHIA,PA,19130,19130
8404200165,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A50,712110,HISTORIC STRAWBERRY MANSION,COMMITTEE OF 1926,,,2450 STRAWBERRY MANSION DR,PHILADELPHIA,PA,19132,19132,2450 STRAWBERRY MANSION DR,PHILADELPHIA,PA,19132,19132,2152288364,HTTP://WWW.HISTORICSTRAWBERRYMANSION.ORG,201403,5,534523,190741,PO BOX 539,MOORESTOWN,NJ,195303,195303,03,1953,-75.18631,39.99315,2450 STRAWBERRY MANSION DR,PHILADELPHIA,PA,19132,19132
